entry_ts,exit_ts,hold_periods,hold_days,funding_pnl,total_pnl,reason
2020-01-08 00:00:00+00:00,2020-03-12 16:00:00+00:00,194,64.66666666666667,0.0696831400000001,0.07233466329418976,signal
2020-04-30 00:00:00+00:00,2020-05-15 08:00:00+00:00,46,15.333333333333334,0.008589209999999996,0.00802646396840237,signal
2020-06-02 00:00:00+00:00,2020-06-12 08:00:00+00:00,31,10.333333333333334,0.0036313999999999973,0.002341224659549207,signal
2020-06-23 16:00:00+00:00,2020-06-28 16:00:00+00:00,15,5.0,0.0014555400000000004,0.0007917356317622826,signal
2020-07-26 16:00:00+00:00,2020-09-14 16:00:00+00:00,150,50.0,0.041299510000000164,0.04104164194949787,signal
2020-11-06 08:00:00+00:00,2020-11-14 16:00:00+00:00,25,8.333333333333334,0.003373189999999998,0.002862301723262425,signal
2020-11-18 00:00:00+00:00,2020-12-12 08:00:00+00:00,73,24.333333333333332,0.01914593999999998,0.018462201732460267,signal
2020-12-16 16:00:00+00:00,2021-05-19 16:00:00+00:00,462,154.0,0.2444759099999992,0.24245678456464603,signal
2021-05-29 16:00:00+00:00,2021-06-08 08:00:00+00:00,29,9.666666666666666,0.002915809999999999,0.0017511045978476354,signal
2021-08-16 16:00:00+00:00,2021-09-23 00:00:00+00:00,112,37.333333333333336,0.017063899999999972,0.01690090791564935,signal
2021-10-07 08:00:00+00:00,2021-12-04 16:00:00+00:00,175,58.333333333333336,0.041615360000000136,0.04077793179773422,signal
2023-01-14 08:00:00+00:00,2023-02-12 16:00:00+00:00,88,29.333333333333332,0.008716890000000003,0.008077529363906008,signal
2023-02-16 16:00:00+00:00,2023-02-23 08:00:00+00:00,20,6.666666666666667,0.0019350600000000006,0.0011537397782011597,signal
2023-03-14 00:00:00+00:00,2023-03-17 00:00:00+00:00,9,3.0,0.0012937500000000002,0.00060322499428784,signal
2023-11-09 16:00:00+00:00,2024-01-28 08:00:00+00:00,239,79.66666666666667,0.034587910000000034,0.03356495715357445,signal
2024-02-14 16:00:00+00:00,2024-04-15 08:00:00+00:00,182,60.666666666666664,0.047093910000000086,0.04636692554649219,signal
2024-05-21 08:00:00+00:00,2024-06-19 08:00:00+00:00,87,29.0,0.00895927,0.008273289565601444,signal
2024-11-10 08:00:00+00:00,2024-12-21 08:00:00+00:00,123,41.0,0.019183789999999982,0.01834697971711707,signal
