entry_ts,exit_ts,hold_periods,hold_days,funding_pnl,total_pnl,reason
2020-01-15 00:00:00+00:00,2020-03-13 08:00:00+00:00,175,58.333333333333336,0.08397111,0.074784588293536,signal
2020-04-30 08:00:00+00:00,2020-05-15 00:00:00+00:00,44,14.666666666666666,0.008640059999999998,0.008308231967668148,signal
2020-06-02 00:00:00+00:00,2020-09-11 00:00:00+00:00,303,101.0,0.08020929000000013,0.07885556722186655,signal
2020-10-10 08:00:00+00:00,2021-05-19 16:00:00+00:00,664,221.33333333333334,0.35974616999999953,0.3536036312803059,signal
2021-05-20 00:00:00+00:00,2021-06-14 16:00:00+00:00,77,25.666666666666668,0.007624680000000007,0.006244314555026831,signal
2021-08-07 16:00:00+00:00,2021-09-24 00:00:00+00:00,142,47.333333333333336,0.02837125999999996,0.02814914794350032,signal
2021-10-06 16:00:00+00:00,2021-12-10 16:00:00+00:00,195,65.0,0.03869091000000016,0.03781419682021897,signal
2023-01-14 08:00:00+00:00,2023-02-11 08:00:00+00:00,84,28.0,0.008988490000000002,0.008072139503907541,signal
2023-02-16 16:00:00+00:00,2023-02-23 16:00:00+00:00,21,7.0,0.0020127500000000006,0.0016322691941093419,signal
2023-03-15 00:00:00+00:00,2023-03-21 08:00:00+00:00,19,6.333333333333333,0.0018018200000000002,0.0006719037896937094,signal
2023-11-02 00:00:00+00:00,2024-02-02 08:00:00+00:00,277,92.33333333333333,0.0412121000000002,0.039738804930500346,signal
2024-02-14 16:00:00+00:00,2024-04-17 08:00:00+00:00,188,62.666666666666664,0.0482395400000001,0.04764203511889626,signal
2024-05-21 08:00:00+00:00,2024-06-20 16:00:00+00:00,91,30.333333333333332,0.010201849999999995,0.009827934497420561,signal
2024-11-07 08:00:00+00:00,2024-12-24 16:00:00+00:00,142,47.333333333333336,0.023433429999999974,0.022156843781271512,signal
