asset,regime,n,mean_bps_8h,annualized_pct,std_bps_8h,pct_negative
BTC,2020 COVID / recovery,1098,1.570101912568306,17.19261594262295,2.798572206890429,14.29872495446266
BTC,2021 bull,1095,2.795289771689498,30.608423000000002,3.736703414537122,7.30593607305936
BTC,2022 bear,1095,0.3803584474885845,4.164925,0.8176680347905535,22.100456621004565
BTC,2023 chop,1095,0.7183298630136987,7.865712000000001,0.6764476025177354,10.136986301369863
BTC,2024 ETF bull,1098,1.0889693078324227,11.924213920765027,1.1936742279361998,8.378870673952642
BTC,2025+,1391,0.3938822429906543,4.3130105607476645,0.4441558944440048,17.90079079798706
ETH,2020 COVID / recovery,1098,2.503639071038252,27.41484782786886,3.4120215332775303,2.6411657559198543
ETH,2021 bull,1095,3.4280598173515986,37.53725500000001,4.855834179752649,4.10958904109589
ETH,2022 bear,1095,0.07189552511415523,0.7872559999999997,1.6955928978705428,34.15525114155251
ETH,2023 chop,1095,0.7542928767123289,8.259507000000003,0.775465238881396,9.1324200913242
ETH,2024 ETF bull,1098,1.1836902550091075,12.961408292349727,1.1733738354765604,4.189435336976321
ETH,2025+,1391,0.35571746944644145,3.895106290438534,0.5280359084731312,21.854780733285406
