symbol,n_obs,mean_8h_bps,median_8h_bps,std_8h_bps,skew,kurt,mean_annualized_pct,pct_above_1bp,pct_above_10bp,pct_negative,max_8h_bps,min_8h_bps
BTC,6872,1.125,1.0,2.149,3.261,30.115,12.319,15.221,1.295,13.548,30.0,-30.0
ETH,6872,1.339,1.0,2.804,3.297,37.945,14.663,17.841,2.095,13.068,37.5,-35.633
