entry_bps,exit_bps,taker_bps,n_steps,n_trades,exposure,ann_return_pct,ann_vol_pct,sharpe,max_dd_pct,win_rate,avg_hold_days,total_pnl_pct,asset
1.0,0.5,4.0,6871,18,0.2998,8.99,0.891,10.091,-0.282,1.0,38.15,56.413,BTC
1.0,0.5,4.0,6871,14,0.3525,11.434,1.335,8.568,-1.798,1.0,57.67,71.75,ETH
